Episode: 1
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
21;[-0.216];[0.174];1;80.000;8.200;30.000;1;1;1
22;[-0.023];[0.182];1;80.000;8.200;30.000;1;1;1
23;[0.169];[0.184];0;0.000;8.200;50.000;1;1;1
24;[-0.028];[0.182];1;80.000;8.200;30.000;1;1;1
25;[0.164];[0.187];0;0.000;8.200;50.000;1;1;1
26;[-0.033];[0.187];0;0.000;8.200;50.000;1;1;1
27;[-0.231];[0.194];0;0.000;8.200;50.000;1;1;1
28;[-0.428];[0.208];0;0.000;8.200;50.000;1;1;1
.
Episode: 11
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.377, 0.541];[-0.002, 0.182];1;81.543;1.000;4.388;69;631;1
2;[-0.256, 1.182];[-0.103, -0.003];0;81.544;1.000;4.521;27;436;1
3;[0.532, 1.292];[-0.003, 0.085];0;76.888;0.800;36.063;62;208;1
4;[-0.987, -0.265];[-0.097, -0.014];0;81.607;1.000;22.759;20;95;1
5;[-0.825, 0.015];[-0.013, -0.003];1;99.156;1.005;1.492;6;34;1
6;[-0.428, 0.780];[0.086, 0.208];0;0.000;1.034;0.115;25;25;1
7;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
8;[0.710, 1.497];[-0.003, 0.023];0;100.000;1.162;0.550;10;18;1
9;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
10;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
11;[-0.542, -0.350];[-0.044, -0.018];1;20.000;1.966;1.966;10;10;1
12;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
13;[-1.182, -0.268];[-0.013, -0.005];0;20.000;2.208;2.458;9;9;1
14;[-1.174, -1.008];[-0.026, -0.020];0;20.000;5.608;10.000;3;3;1
15;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
16;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
17;[-0.734];[-0.019];1;100.000;8.200;50.000;1;1;1
18;[1.354];[0.028];0;100.000;8.200;50.000;1;1;1
19;[1.308, 1.494];[0.029, 0.078];0;17.143;2.887;4.206;7;7;1
20;[0.546, 1.342];[0.017, 0.158];1;88.950;1.000;0.000;37;141;1
21;[1.536];[0.011];0;100.000;8.200;50.000;1;1;1
22;[1.341];[-0.019];0;100.000;8.200;50.000;1;1;1
.
Episode: 12
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.377, 0.541];[-0.002, 0.182];1;81.822;1.000;5.419;69;650;1
2;[0.532, 1.292];[-0.003, 0.085];0;85.208;0.672;30.476;62;210;1
3;[0.546, 1.342];[0.017, 0.158];1;75.436;1.000;20.336;37;148;1
4;[-0.825, 0.015];[-0.013, -0.003];1;99.156;1.005;1.492;6;34;1
5;[-0.428, 0.780];[0.086, 0.208];0;0.000;1.034;0.115;25;25;1
6;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
7;[0.710, 1.497];[-0.003, 0.023];0;100.000;1.130;0.440;10;19;1
8;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
9;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
10;[-0.542, -0.350];[-0.044, -0.018];1;20.000;1.966;1.966;10;10;1
11;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
12;[-1.182, -0.268];[-0.013, -0.005];0;20.000;2.208;2.458;9;9;1
13;[1.308, 1.494];[0.029, 0.078];0;17.143;2.887;4.206;7;7;1
14;[1.354, 1.536];[0.011, 0.028];0;100.000;6.760;25.000;2;2;1
15;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
16;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
17;[-0.734];[-0.019];1;100.000;8.200;50.000;1;1;1
18;[-0.256, 1.519];[-0.189, -0.003];0;82.311;1.000;0.000;36;457;1
19;[-0.989, -0.265];[-0.184, -0.014];0;82.684;1.000;0.000;24;104;1
20;[-1.763, -1.000];[-0.026, -0.020];0;20.000;3.949;6.000;5;5;1
21;[-1.569, -1.182];[-0.121, -0.061];0;86.667;5.608;12.222;3;3;1
22;[-1.958];[0.020];0;0.000;8.200;50.000;1;1;1
23;[-2.154];[0.070];0;0.000;8.200;50.000;1;1;1
24;[-2.349];[0.125];0;0.000;8.200;50.000;1;1;1
25;[-2.545];[0.186];0;0.000;8.200;50.000;1;1;1
.
Episode: 13
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.377, 0.541];[-0.002, 0.182];1;80.845;1.000;2.359;69;721;1
2;[-0.256, 1.519];[-0.189, -0.003];0;80.779;1.000;2.565;36;518;1
3;[0.532, 1.292];[-0.003, 0.085];0;86.150;0.488;30.214;62;217;1
4;[0.546, 1.342];[0.017, 0.158];1;83.950;1.000;7.641;37;172;1
5;[-0.989, -0.265];[-0.184, -0.014];0;78.194;1.000;22.593;24;128;1
6;[-1.190, 0.015];[-0.013, -0.003];1;99.792;1.001;0.055;8;41;1
7;[-2.545, 0.780];[0.086, 0.208];0;0.000;1.022;0.074;27;27;1
8;[0.710, 1.497];[-0.003, 0.023];0;89.760;0.985;15.540;10;23;1
9;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
10;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
11;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
12;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
13;[-0.542, -0.350];[-0.044, -0.018];1;20.000;1.966;1.966;10;10;1
14;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
15;[1.308, 1.494];[0.029, 0.078];0;17.143;2.887;4.206;7;7;1
16;[-1.763, -0.990];[-0.026, -0.020];0;20.000;3.359;4.800;6;6;1
17;[-1.569, -0.995];[-0.121, -0.040];0;90.000;4.686;10.000;4;4;1
18;[1.354, 1.536];[0.011, 0.028];0;100.000;4.686;12.500;2;4;1
19;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
20;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
21;[-0.734];[-0.019];1;100.000;8.200;50.000;1;1;1
22;[1.522];[0.030];0;100.000;8.200;50.000;1;1;1
23;[0.543];[0.147];1;80.000;8.200;30.000;1;1;1
.
Episode: 14
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.377, 0.543];[-0.002, 0.182];1;81.209;1.000;3.338;70;794;1
2;[-0.256, 1.519];[-0.189, -0.003];0;81.002;1.000;3.047;36;577;1
3;[0.532, 1.292];[-0.003, 0.085];0;68.908;0.696;40.865;62;222;1
4;[0.546, 1.343];[0.017, 0.158];1;75.671;1.000;18.082;38;194;1
5;[-0.989, -0.265];[-0.184, -0.014];0;85.830;1.000;7.514;24;157;1
6;[-1.556, 0.015];[-0.013, -0.003];1;99.882;1.000;0.002;9;44;1
7;[-2.545, 0.780];[0.086, 0.208];0;0.000;1.022;0.074;27;27;1
8;[0.710, 1.497];[-0.003, 0.023];0;94.757;0.973;11.889;10;26;1
9;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
10;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
11;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
12;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
13;[-0.542, -0.350];[-0.044, -0.018];1;20.000;1.966;1.966;10;10;1
14;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
15;[1.308, 1.494];[0.029, 0.078];0;17.143;2.887;4.206;7;7;1
16;[-1.569, -0.995];[-0.121, -0.040];0;94.880;2.887;8.960;4;7;1
17;[-1.763, -0.990];[-0.026, -0.020];0;20.000;3.359;4.800;6;6;1
18;[1.354, 1.538];[0.011, 0.028];0;100.000;3.949;10.000;3;5;1
19;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
20;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
21;[1.522];[0.030];0;100.000;8.200;50.000;1;1;1
22;[-1.368, -0.734];[-0.023, -0.019];1;100.000;3.949;10.000;5;5;1
.
Episode: 15
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.256, 1.519];[-0.189, -0.003];0;80.039;1.000;0.276;36;634;1
2;[0.532, 1.292];[-0.003, 0.085];0;61.349;0.876;46.258;62;230;1
3;[-0.989, -0.265];[-0.184, -0.014];0;81.662;1.000;5.099;24;181;1
4;[-1.556, 0.015];[-0.013, -0.003];1;99.969;1.000;0.047;9;50;1
5;[0.710, 1.497];[-0.003, 0.023];0;83.845;0.937;23.609;10;28;1
6;[-2.545, 0.780];[0.086, 0.208];0;0.000;1.022;0.074;27;27;1
7;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
8;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
9;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
10;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
11;[-0.542, -0.350];[-0.044, -0.018];1;20.000;1.966;1.966;10;10;1
12;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
13;[-1.569, -0.995];[-0.121, -0.040];0;96.723;2.208;7.373;4;9;1
14;[-1.763, -0.990];[-0.031, -0.020];0;20.000;2.510;3.072;8;8;1
15;[1.308, 1.494];[0.029, 0.078];0;17.143;2.887;4.206;7;7;1
16;[-1.368, -0.734];[-0.028, -0.019];1;100.000;3.359;8.000;6;6;1
17;[1.354, 1.538];[0.011, 0.028];0;100.000;3.949;10.000;3;5;1
18;[1.522, 1.545];[0.016, 0.030];0;100.000;6.760;25.000;2;2;1
19;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
20;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
21;[-1.549, 0.543];[-0.002, 0.188];1;80.262;1.000;0.000;74;870;1
22;[0.546, 1.351];[0.017, 0.175];1;70.260;1.000;13.695;41;215;1
23;[1.540];[0.063];0;20.000;8.200;30.000;1;1;1
.
Episode: 16
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.256, 1.519];[-0.189, -0.003];0;84.032;1.000;4.225;36;691;1
2;[0.546, 1.351];[0.017, 0.175];1;85.076;1.000;13.926;41;240;1
3;[0.532, 1.292];[-0.003, 0.085];0;79.094;0.380;35.833;62;237;1
4;[-0.989, -0.265];[-0.184, -0.014];0;79.840;1.000;2.549;24;205;1
5;[-1.556, 0.015];[-0.013, -0.003];1;99.980;1.000;0.040;9;52;1
6;[0.710, 1.497];[-0.003, 0.023];0;97.290;0.955;9.382;10;36;1
7;[-2.545, 0.780];[0.086, 0.208];0;0.000;1.022;0.074;27;27;1
8;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
9;[-1.569, -0.995];[-0.121, -0.040];0;91.378;1.253;10.621;4;16;1
10;[-0.542, -0.350];[-0.087, -0.018];1;18.333;1.618;1.328;12;12;1
11;[0.039, 0.492];[-0.024, -0.002];1;26.827;1.773;1.215;6;11;1
12;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
13;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
14;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
15;[-1.751, -0.734];[-0.029, -0.019];1;88.000;2.208;3.113;8;9;1
16;[1.308, 1.494];[0.029, 0.078];0;17.143;2.887;4.206;7;7;1
17;[1.354, 1.538];[0.011, 0.028];0;100.000;3.949;10.000;3;5;1
18;[1.522, 1.545];[0.016, 0.030];0;100.000;6.760;25.000;2;2;1
19;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
20;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
21;[1.540];[0.063];0;20.000;8.200;30.000;1;1;1
22;[-1.763, -0.990];[-0.032, -0.020];0;20.000;2.208;2.458;9;9;1
23;[-1.751, 0.543];[-0.002, 0.188];1;80.070;1.000;0.123;77;940;1
.
Episode: 17
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.256, 1.519];[-0.189, -0.003];0;80.789;1.000;2.565;36;747;1
2;[0.532, 1.292];[-0.003, 0.085];0;79.616;0.344;32.995;62;244;1
3;[-0.989, -0.265];[-0.184, -0.014];0;70.639;1.000;31.073;24;232;1
4;[-1.556, 0.015];[-0.013, -0.003];1;99.984;1.000;0.036;9;53;1
5;[0.710, 1.497];[-0.003, 0.023];0;99.289;0.987;3.525;10;42;1
6;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
7;[-1.569, -0.995];[-0.121, -0.040];0;91.378;1.253;10.621;4;16;1
